"date","close","volume","open","high","low"
"2018/04/27","67.3800","1451121.0000","68.5900","68.5900","67.2200"
"2018/04/26","68.4800","1250168.0000","68.4300","69.1450","67.2900"
"2018/04/25","67.6600","1425183.0000","68.1100","68.6500","67.1400"
"2018/04/24","68.0600","2218242.0000","68.8900","69.4600","67.7450"
"2018/04/23","68.6800","2345370.0000","70.2100","70.6700","68.3000"
"2018/04/20","69.8800","1660795.0000","70.7800","71.0300","68.5400"
"2018/04/19","70.6300","2774217.0000","71.4000","71.7700","69.7100"
"2018/04/18","73.1200","950358.0000","73.2600","73.7700","72.1300"
"2018/04/17","73.4700","785897.0000","72.8600","73.8300","72.5600"
"2018/04/16","72.2800","1075327.0000","72.7500","72.9100","71.2200"
"2018/04/13","72.5500","820776.0000","72.9000","72.9000","71.6200"
"2018/04/12","72.5100","1440695.0000","72.7200","73.3900","72.0200"
"2018/04/11","72.2000","1026549.0000","70.9100","72.8200","70.4200"
"2018/04/10","71.2400","1072861.0000","70.8000","71.6400","70.4100"
"2018/04/09","69.5900","1157276.0000","70.1000","71.4400","69.5700"
"2018/04/06","69.7200","1263149.0000","70.7000","71.5300","69.3300"
"2018/04/05","71.4100","1582972.0000","71.6600","72.4000","70.9350"
"2018/04/04","71.5100","1231613.0000","68.2200","71.5900","67.8100"
"2018/04/03","69.7100","1093358.0000","69.0100","69.9300","68.6500"
"2018/04/02","68.5300","1237846.0000","70.0700","70.4400","68.0600"
"2018/03/29","70.4500","1542146.0000","69.1200","71.0600","68.2500"
"2018/03/28","68.5400","1717767.0000","69.9300","70.8700","68.1300"
"2018/03/27","70.2300","1844411.0000","73.4900","73.5700","69.6345"
"2018/03/26","73.3400","1813842.0000","72.5500","73.5300","71.2600"
"2018/03/23","71.5500","2166289.0000","72.7600","73.4000","70.6100"
"2018/03/22","72.6500","2630877.0000","73.4300","74.4300","72.1900"
"2018/03/21","74.1800","2088216.0000","75.0700","75.9196","73.9200"
"2018/03/20","75.0700","4308566.0000","75.0500","76.6600","73.5200"
"2018/03/19","78.4200","2498991.0000","79.8000","80.3100","77.4200"
"2018/03/16","80.7500","2831779.0000","79.2900","81.6200","78.9900"
"2018/03/15","79.0000","6685994.0000","79.4800","80.0200","74.7900"
"2018/03/14","82.2200","1390917.0000","83.4600","83.7500","81.2500"
"2018/03/13","83.4200","1774675.0000","86.5600","86.5600","83.0700"
"2018/03/12","86.3900","1319165.0000","86.0000","86.8400","83.9600"
"2018/03/09","85.5100","1437278.0000","84.4500","85.5100","83.8844"
"2018/03/08","84.2300","1400807.0000","83.5000","84.2900","82.7000"
"2018/03/07","83.3200","1778541.0000","82.8300","84.3000","82.7700"
"2018/03/06","83.6800","1260223.0000","83.4600","84.2400","83.2500"
"2018/03/05","83.1900","1692498.0000","80.6500","83.5325","80.6500"
"2018/03/02","81.1300","1667251.0000","77.8700","81.3000","77.8700"
